parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07ZFBP337,Hiking Backpack Camping Daypack Mountain Bike Cycling Rucksack for Men Women Travel Outdoor Camping Sports Motorcycle Bicycle Riding Nylon Multipurpose Daypack (Red),307,4.2,,Hebetag,52.89,https://m.media-amazon.com/images/I/61kaXvyHuUL._AC_SL1010_.jpg,,not checked,
B09S5SBPCW,"Sleeping Bag, Sportneer Wearable XL Sleeping Bags for Adults with Arm Zipper Holes Sleeping Bags Winter Cold Weather Kids Sleeping Bag for Camping Hiking Backpacking Outdoor Travel",295,4.7,Sports & Outdoors,Sportneer,39.99,https://m.media-amazon.com/images/I/511FNDrd5fL._AC_SL1500_.jpg,,not checked,
B0733G38JH,"Ruffwear, Palisades Dog Pack, Multi-Day Hiking Backpack with Hydration Bladders, Red Currant, Medium",278,4.7,,RUFFWEAR,,https://m.media-amazon.com/images/I/81KdQ3SXmJL._AC_SL1500_.jpg,,not checked,
B088R6RCLN,"HAHASOLE Camping Hammock with Mosquito Net - Includes Tree Straps & Carabiners - Ripstop Nylon Lightweight & Portable Travel Bed Set with Bug Net for Hiking Backpacking Beach, Easy Setup Outdoor Gear",265,4.3,Amazon Home,HAHASOLE,29.99,https://m.media-amazon.com/images/I/61rMXB3zirL._AC_SL1001_.jpg,,not checked,
B0BV2TWQST,"Osprey Talon 11 Men's Hiking Backpack , Cosmic Red, Small/Medium",254,4.6,,Osprey,91.55,https://m.media-amazon.com/images/I/81SF2jBfIcL._AC_SL1500_.jpg,,not checked,"One of the most versatile technical pack series ever created, the Talon/Tempest is now sustainably designed with recycled high-tenacity nylon. A BioStretch harness, continuous-wrap hipbelt and an inje..."
B09687JTBV,ZOMAKE 30/35/45L Lightweight Packable Backpack - Foldable Hiking Backpacks Water Resistant Large Folding Daypack for Travel,248,4.4,Sports & Outdoors,ZOMAKE,16.49,https://m.media-amazon.com/images/I/817ronbE7aL._AC_SL1500_.jpg,,not checked,
B0BLMWTH7S,"Small Kerosene Lantern Hurricane Lantern Oil Lamp 8 Inch Indoor Outdoor Hanging Lantern with Wick for Christmas Party Decorations Camping Hiking Backpacking Emergency (4 Pieces, Black)",243,3.8,Tools & Home Improvement,Honoson,40.99,https://m.media-amazon.com/images/I/71LLkyyvRMS._AC_SL1500_.jpg,,not checked,"Features:  Backup light source: The small hurricane lantern can be applied as the back up light source at home, preventing the accident of power off.  Wide applications: The small hurricane lantern ca..."
B09933F88J,"Lywencom Hiking Backpack,Ultra-Light 20L Waterproof Folding Sports Lightweight Waterproof Backpack Suitable for Outdoor Camping Picnic (blue)",211,3.7,,Lywencom,11.99,https://m.media-amazon.com/images/I/71RMYTvjNTL._AC_SL1500_.jpg,,not checked,"Foldable Lightweight Hiking Backpack - 20L Waterproof Daypack, Unisex Travel - Ultra Lightweight Carrying Daypack Product Description  1. Foldable hiking backpack is designed for travel and daily use ..."
B07X34DDFY,Aveler 50Liters Unisex Lightweight Nylon Internal Frame Hiking Backpack with Integrated Rain Cover,199,4.6,,Aveler,59.99,https://m.media-amazon.com/images/I/71aLfCmKJiL._AC_UL1500_.jpg,,not checked,
B075STT8CH,BULLCAPTAIN Genuine Leather Men Bags Shoulder Sling Crossbody Bag Casual Mens Chest Bag Travel Hiking Backpack,196,4.5,AMAZON FASHION,BULLCAPTAIN,38.97,https://m.media-amazon.com/images/I/81DBWv39jfL._AC_UL1500_.jpg,,not checked,"Quality 100% Genuine Leather Style: fashion Casual Occasion: Outdoor,travel, party , business tripBag can accommodate iPad Mini, phone, cigarettes, wallet, etc.it's also suitable for gifts sent to rel..."
B01IQIELJS,Osprey Tempest 40 Women's Hiking Backpack,161,4.7,Sports & Outdoors,Osprey,,https://m.media-amazon.com/images/I/71Cd2tSg3OL._AC_SL1500_.jpg,,not checked,"Simpler is often better, and if you prefer going light and moving fast in the woods, mountains and beyond, the Tempest 40 is the pack for you. 40L of capacity is perfect for committing day hikes and l..."
B01N6GNE16,Coreal Unisex 50l Hiking Backpack for Travel Outdoor Sport Camping Trekking Lightweight,139,4.4,Sports & Outdoors,Coreal,,https://m.media-amazon.com/images/I/81wOek9rUgL._AC_UL1500_.jpg,,not checked,
B08YX9V3L5,Branded Boards Bushcraft Gear and Accessories Utility Storage Strap Hooks for Archery Camping Hiking Backpacking Fishing & Hunting in Camo and Black Colors,123,4.7,Sports & Outdoors,Branded Boards,8.99,https://m.media-amazon.com/images/I/61DpN1bhIpL._AC_SL1000_.jpg,,not checked,
B08XX4R2NZ,Lixada 1100ml/2800ml Titanium Pot Ultralight Portable Hanging Pot with Lid and Foldable Handle Outdoor Camping Hiking Backpacking,116,4.6,Sports & Outdoors,Lixada,69.99,https://m.media-amazon.com/images/I/6180a8V-giL._AC_SL1500_.jpg,,not checked,
B0B45V414J,"ROCK CLOUD 2 Pack Portable Camping Chair Ultralight Folding Chairs Outdoor for Camp Hiking Backpacking Lawn Beach Sports, Black",110,4.4,Amazon Home,ROCK CLOUD,68.99,https://m.media-amazon.com/images/I/71JxpKvn-XL._AC_SL1500_.jpg,,not checked,
B082MT134C,"Seattle Sports AquaSto BigMouth Collapsible Water Container Bag, BPA Free Food Grade Storage Jug for Camping Hiking Backpack Emergency, No-Leak Freezable Foldable 8 Liter",107,4.2,Sports & Outdoors,Seattle Sports,39.95,https://m.media-amazon.com/images/I/71Ie+S3i-3L._AC_SL1000_.jpg,,not checked,
B09MCVK9H6,ZOMAKE Packable Hiking Backpack Water Resistant:32L Lightweight Foldable Backpacks - Small Packable Back Pack for Travel,106,4.4,Sports & Outdoors,ZOMAKE,19.99,https://m.media-amazon.com/images/I/91by4h0eT8L._AC_SL1500_.jpg,,not checked,
B0BSC3LHGZ,ZOMAKE 35L Packable Backpack:Lightweight Hiking Backpacks - Foldable Water Resistant Back Pack for Hiking,102,4.3,Sports & Outdoors,ZOMAKE,11.99,https://m.media-amazon.com/images/I/81ykywMv6PL._AC_SL1500_.jpg,,not checked,
B07RDPNZ57,"Gonex 30L Hiking Backpack,Waterproof Backpack Lightweight Travel Backpack for Outdoor Camping",100,4.6,Sports & Outdoors,Gonex,,https://m.media-amazon.com/images/I/71sk9AgWukL._AC_UL1500_.jpg,,not checked,
