parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B06WD6RSL9,"EXQUIS Insulated double Wall Stainless Steel Vacuum Sealed Flask Water Bottle with Silicone Sleeve, 40oz, Emerald",60,4.2,Amazon Home,EXQUIS,,https://m.media-amazon.com/images/I/61wH++ZxmKL._AC_SL1500_.jpg,,not checked,"This double wall Vacuum insulated bottle will meet all your needs! whether you fill it with boiling water or a pack of ice, the outside of the bottle will never get hot or cold to carry! you can use a..."
B0731Q2913,MIRA 17 oz Stainless Steel Vacuum Insulated Water Bottle - Leak-Proof Double Walled Cola Shape Bottle - Keeps Drinks Cold for 24 Hours & Hot for 12 Hours - Stars,50,4.0,Amazon Home,MIRA Brands,,https://m.media-amazon.com/images/I/51SXpGN13qL._AC_SL1024_.jpg,,not checked,
B0BN3BJGD1,ZREGGUR Metal mugs 20 oz sublimation Blanks tumblers skinny straight Double Wall coffee cups stainless steel travel Vacuum Insulated tumbler with lid and straw orifice water bottle,48,4.6,Amazon Home,ZREGGUR,10.99,https://m.media-amazon.com/images/I/51E5eSYA6AL._AC_SL1500_.jpg,,not checked,
B07MW44X88,"GiNT Stainless Steel Vacuum Insulated Double Walled Water Bottle, Leak-Proof Cola Shape, Keeps Drinks Hot and Cold, Outdoor Sports, Travel Mug, 17oz Star",39,4.4,Amazon Home,GiNT,,https://m.media-amazon.com/images/I/31RukZCOE9L._AC_.jpg,,not checked,
B07CVSWN7W,BUILT 18-Ounce Apex Perfect Seal Double Wall Vacuum Insulated Water Bottle Rose Gold 5233259,36,3.7,Amazon Home,BUILT,14.73,https://m.media-amazon.com/images/I/71Ptg0CGiaL._AC_SL1500_.jpg,,not checked,"BUILT designs are based on simplicity, a passion for materials, and a desire to make life easier when on the go. Combining form and function, the BUILT collection of industrious, stylish, and protecti..."
B0BN97YSY3,20 oz DOUBLE WALLED Glass Tumbler with Platinum Silicone Straw | Volume & Time Markings | Double Wall Glass Water Bottle with Silicone Sleeve | Bamboo Lid | Drinking Mug For Coffee & Tea (Shale Green),35,3.7,Amazon Home,purifyou,19.97,https://m.media-amazon.com/images/I/71OfkN1DuYL._AC_SL1500_.jpg,,not checked,
B0BQBXZY5L,"BUZIO Insulated Tumbler with 2-in-1 Lid and Straw, 30 oz Tumbler with Handle, Stainless Steel Double Walled Water Bottle Reusable Coffee Tumbler Travel Mug Thermal Cup, Wide Mouth Smoothie Cups",34,4.6,Amazon Home,BUZIO,26.98,https://m.media-amazon.com/images/I/617lGFS6VxL._AC_SL1500_.jpg,,not checked,
B07VSWBQFF,"New Tupperware Large Eco Water Bottle, 36-oz./1 L Capacity",33,4.5,Tools & Home Improvement,New Tupperware,,https://m.media-amazon.com/images/I/71JJVtwcqIL._AC_SL1500_.jpg,,not checked,"Large Eco Water Bottle, 36-oz./1 L Capacity"
B092RF93HW,"BUILT Ceramic Water Bottle with Cork Lid, 17-Ounce, Green Reactive",33,4.4,Amazon Home,BUILT,22.85,https://m.media-amazon.com/images/I/81QZd59ZAwL._AC_SL1500_.jpg,,not checked,This ceramic bottle never leaves a metal taste and leaves your water tasting pure. The cork lid with a rubber stopper ensure for a leakproof seall. Wide mouth opening is designed for easy cleaning. Si...
B07T8PRR1P,S'well Stainless Steel Water Bottle - 17 Fl Oz - Soft Touch Dusk - Triple-Layered Vacuum-Insulated Containers Keeps Drinks Cold for 36 Hours and Hot for 18 - BPA-Free - Perfect for the Go,33,4.7,Amazon Home,S'well,,https://m.media-amazon.com/images/I/51ghLnY38uL._AC_SL1500_.jpg,,not checked,"Established in 2010, S'well is the only reusable bottle that looks great and does good. S'well keeps your drinks cold for 24 hours or hot for 12, while giving back to those in need. S'well bottles are..."
B07JCZ6QKS,"Set of 8 Ice Roll Trays! Perfect For Water Bottles, Bars, Water Pipes, and Ice Cube Sticks For Bottled Beverages, Water Bottles, Sport Drinks, Bottled Soda! (8, Blue)",32,4.1,Amazon Home,Black Duck Brand,10.99,https://m.media-amazon.com/images/I/71q5MMazn0L._AC_SL1500_.jpg,,not checked,Tired of not having ice for your bottled beverage? Cool your beverages off with Ice Rolls! The the solution you have been looking for! All Ice Rolls are made of high quality plastic. Each tray will ma...
B07GNFG1MP,VORCOOL 5 PCS 65mm Protective Cup Mat Silicone Sleeve Heat-Resistant Water Bottle Holder Insulation Mat Non-Slip Cup Mug Coaster (Random Color),32,3.6,Sports & Outdoors,VORCOOL,,https://m.media-amazon.com/images/I/51hhZMoy3uL._AC_SL1200_.jpg,,not checked,"Description This silicone mat is made from premium material with high stretchy ability, which can fit different sizes of bottles and cups. Silicone mat has great heat-resistant performance, which can ..."
B0BWHJ6BPR,SIEROZUR 74oz Glass Water Bottle with Straw and Handle Lid 2.2L Large Half Gallon Motivational Bottle with Silicone Sleeve and Time Marker Large Reusable Sports Water Jug for Gym Home Workout,31,4.7,Tools & Home Improvement,SIEROZUR,33.99,https://m.media-amazon.com/images/I/61zTx9EEjdL._AC_SL1500_.jpg,,not checked,
B0BDCTNF2F,Simple Modern Insulated Tumbler Cup with Straw Lid and Flip Lid | Reusable Stainless Steel Water Bottle for Cold Brew Tea Iced Coffee Travel Mug | Classic Collection | 20oz | Tidal Wave,29,4.8,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/71KzkZKUaeS._AC_SL1500_.jpg,,not checked,"The Simple Modern Classic Tumbler is double walled and vacuum insulated to keep your drink hot or cold for hours. The cup comes with two lids, a straw lid and a flip lid so you can enjoy your favorite..."
B09TLKLWLV,"LIFORME Portable Water Bottle, Leakproof Screw Top, Lightweight, Eco-friendly, Hot/Cold Vacuum Insulation, Sweat-Free Double-Walled Design, BPA-Free, Grippy Textured Surface, 13OZ - White",27,4.3,,LIFORME,37.0,https://m.media-amazon.com/images/I/31zLcPiMUnL._AC_SL1000_.jpg,,not checked,
B0B9T34DSN,Personalized Water Bottles for Kids Custom 18oz Customized Insulated Water Bottles Engraved Name Gifts for Women Girls Men Boys for School,27,4.1,Amazon Home,Pelfay,,https://m.media-amazon.com/images/I/717NSE7H82L._AC_SL1500_.jpg,,not checked,
B0BWH9YGY3,"Funkrin Insulated Coffee Mug Tumbler with Lid and Straw, 18oz Ceramic Lined Coating Travel Mug, Stainless Steel Water Bottle Thermos Cup for Office School Party",26,4.8,Amazon Home,Funkrin,16.99,https://m.media-amazon.com/images/I/51mG+mGRGgL._AC_SL1000_.jpg,,not checked,"Funkrin Insulated Tumbler with Straw Lid Funkrin Insulated Tumbler with Straw Lid Why Choose Us Why Choose Us 1. Versatility: The tumbler's capacity is ideal for outdoor activities, travel, and partie..."
B08CDFR3NJ,"Water Bottle Stainless Steel with Loop Handle, Vacuum Insulated Tumbler Keep Cold Hot, Double Wall Leakproof Water Bottle for Gym School Office, 600ml…",23,4.2,Amazon Home,Therm La Mode,24.99,https://m.media-amazon.com/images/I/61p32nQkYdL._AC_SL1500_.jpg,,not checked,
B085DDGN6S,"YSECTLAABBCC GonHui WA Sportula Protective Silicone Sleeve for Most Water Bottles, BPA-Free Boot, 2 Boots of Multiple or Same Colors in 1 Set Package (Pink/Pink, Medium)",21,4.8,Amazon Home,SUAVEC,,https://m.media-amazon.com/images/I/81uzADtfxwL._AC_SL1500_.jpg,,not checked,1
B08R56S5YV,"Simple Modern Tumbler, Water Bottle Lid Replacement Fits Insulated Classic, Journey and Scout Coffee Travel Mugs, Shaker, Clear",20,4.3,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/616gpV01kHL._AC_SL1500_.jpg,,not checked,The Simple Modern Tritan Classic Shaker Lid fits all Simple Modern Classic Cocktail Shakers.
